Year	Population_all	Population_male	Population_female	Hispanic_all	Hispanic_male	Hispanic_female	Native_all	Native_male	Native_female	Asian_all	Asian_male	Asian_female	Black_all	Black_male	Black_female	White_all	White_male	White_female
1978	73.5	69.6	77.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1977	73.3	69.5	77.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1976	72.9	69.1	76.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1975	72.6	68.8	76.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1974	72.0	68.2	75.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1973	71.4	67.6	75.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1972	71.2	67.4	75.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1971	71.1	67.4	75.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1970	70.8	67.1	74.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1969	70.5	66.8	74.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1968	70.2	66.6	74.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1967	70.5	67.0	74.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1966	70.2	66.7	73.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1965	70.2	66.8	73.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1964	70.2	66.8	73.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1963	69.9	66.6	73.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1962	70.1	66.9	73.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1961	70.2	67.1	73.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1960	69.7	66.6	73.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1959	69.9	66.8	73.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1958	69.6	66.6	72.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1957	69.5	66.4	72.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1956	69.7	66.7	72.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1955	69.6	66.7	72.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1954	69.6	66.7	72.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1953	68.8	66.0	72.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1952	68.6	65.8	71.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1951	68.4	65.6	71.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1950	68.2	65.6	71.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1949	68.0	65.2	70.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1948	67.2	64.6	69.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1947	66.8	64.4	69.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1946	66.7	64.4	69.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1945	65.9	63.6	67.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1944	65.2	63.6	66.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1943	63.3	62.4	64.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1942	66.2	64.7	67.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1941	64.8	63.1	66.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1940	62.9	60.8	65.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1939	63.7	62.1	65.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1938	63.5	61.9	65.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1937	60.0	58.0	62.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1936	58.5	56.6	60.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1935	61.7	59.9	63.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1934	61.1	59.3	63.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1933	63.3	61.7	65.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1932	62.1	61.0	63.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1931	61.1	59.4	63.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1930	59.7	58.1	61.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1929	57.1	55.8	58.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1928	56.8	55.6	58.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1927	60.4	59.0	62.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1926	56.7	55.5	58.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1925	59.0	57.6	60.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1924	59.7	58.1	61.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1923	57.2	56.1	58.5	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1922	59.6	58.4	61.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1921	60.8	60.0	61.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1920	54.1	53.6	54.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1919	54.7	53.5	56.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1918	39.1	36.6	42.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1917	50.9	48.4	54.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1916	51.7	49.6	54.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1915	54.5	52.5	56.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1914	54.2	52.0	56.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1913	52.5	50.3	55.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1912	53.5	51.5	55.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1911	52.6	50.9	54.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1910	50.0	48.4	51.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1909	52.1	50.5	53.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1908	51.1	49.5	52.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1907	47.6	45.6	49.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1906	48.7	46.9	50.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1905	48.7	47.3	50.2	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1904	47.6	46.2	49.1	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1903	50.5	49.1	52.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1902	51.5	49.8	53.4	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1901	49.1	47.6	50.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
1900	47.3	46.3	48.3	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
