Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
70–71	0.010854	87,458	949	86,983	1,636,864	18.7
71–72	0.011976	86,509	1,036	85,991	1,549,880	17.9
72–73	0.013181	85,473	1,127	84,909	1,463,890	17.1
73–74	0.014467	84,346	1,220	83,736	1,378,981	16.3
74–75	0.015876	83,126	1,320	82,466	1,295,245	15.6
75–76	0.017453	81,806	1,428	81,092	1,212,779	14.8
76–77	0.019297	80,378	1,551	79,603	1,131,687	14.1
77–78	0.021556	78,827	1,699	77,978	1,052,084	13.3
78–79	0.024140	77,128	1,862	76,197	974,106	12.6
79–80	0.027117	75,266	2,041	74,246	897,909	11.9
80–81	0.030297	73,225	2,218	72,116	823,663	11.2
81–82	0.033958	71,007	2,411	69,801	751,548	10.6
82–83	0.038627	68,595	2,650	67,271	681,746	9.9
83–84	0.043819	65,946	2,890	64,501	614,476	9.3
84–85	0.048846	63,056	3,080	61,516	549,975	8.7
85–86	0.055583	59,976	3,334	58,309	488,459	8.1
86–87	0.062209	56,642	3,524	54,881	430,149	7.6
87–88	0.070615	53,119	3,751	51,243	375,269	7.1
88–89	0.079990	49,368	3,949	47,393	324,025	6.6
89–90	0.090400	45,419	4,106	43,366	276,632	6.1
90–91	0.101902	41,313	4,210	39,208	233,266	5.6
91–92	0.114544	37,103	4,250	34,978	194,058	5.2
92–93	0.128356	32,853	4,217	30,745	159,080	4.8
93–94	0.143352	28,636	4,105	26,584	128,335	4.5
94–95	0.159518	24,531	3,913	22,575	101,751	4.1
95–96	0.176816	20,618	3,646	18,795	79,177	3.8
96–97	0.195179	16,972	3,313	15,316	60,381	3.6
97–98	0.214508	13,660	2,930	12,195	45,065	3.3
98–99	0.234672	10,730	2,518	9,471	32,870	3.1
99–100	0.255514	8,212	2,098	7,163	23,400	2.8
100–over	1.000000	6,113	6,113	16,237	16,237	2.7
