Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
49–50	0.002082	96,919	202	96,818	3,502,092	36.1
50–51	0.002306	96,718	223	96,606	3,405,274	35.2
51–52	0.002556	96,495	247	96,371	3,308,668	34.3
52–53	0.002821	96,248	272	96,112	3,212,296	33.4
53–54	0.003084	95,976	296	95,828	3,116,184	32.5
54–55	0.003343	95,680	320	95,520	3,020,356	31.6
55–56	0.003603	95,361	344	95,189	2,924,835	30.7
56–57	0.003886	95,017	369	94,832	2,829,647	29.8
57–58	0.004209	94,648	398	94,449	2,734,814	28.9
58–59	0.004589	94,249	433	94,033	2,640,366	28.0
59–60	0.005023	93,817	471	93,581	2,546,333	27.1
60–61	0.005494	93,346	513	93,089	2,452,751	26.3
61–62	0.005982	92,833	555	92,555	2,359,662	25.4
62–63	0.006485	92,277	598	91,978	2,267,107	24.6
63–64	0.006996	91,679	641	91,358	2,175,129	23.7
64–65	0.007525	91,038	685	90,695	2,083,770	22.9
65–66	0.008091	90,353	731	89,987	1,993,075	22.1
66–67	0.008715	89,622	781	89,231	1,903,088	21.2
67–68	0.009403	88,841	835	88,423	1,813,857	20.4
68–69	0.010173	88,005	895	87,558	1,725,434	19.6
69–70	0.011036	87,110	961	86,629	1,637,877	18.8
70–71	0.011990	86,149	1,033	85,632	1,551,248	18.0
71–72	0.013050	85,116	1,111	84,560	1,465,615	17.2
72–73	0.014250	84,005	1,197	83,406	1,381,055	16.4
73–74	0.015635	82,808	1,295	82,160	1,297,649	15.7
74–75	0.017245	81,513	1,406	80,810	1,215,489	14.9
75–76	0.019089	80,107	1,529	79,343	1,134,678	14.2
76–77	0.021207	78,578	1,666	77,745	1,055,335	13.4
77–78	0.023753	76,912	1,827	75,998	977,590	12.7
78–79	0.026565	75,085	1,995	74,088	901,592	12.0
79–80	0.029677	73,090	2,169	72,006	827,505	11.3
80–81	0.033144	70,921	2,351	69,746	755,499	10.7
81–82	0.037173	68,570	2,549	67,296	685,753	10.0
82–83	0.041891	66,022	2,766	64,639	618,457	9.4
83–84	0.047238	63,256	2,988	61,762	553,818	8.8
84–85	0.053637	60,268	3,233	58,651	492,057	8.2
85–86	0.061088	57,035	3,484	55,293	433,405	7.6
86–87	0.068043	53,551	3,644	51,729	378,112	7.1
87–88	0.077781	49,907	3,882	47,966	326,383	6.5
88–89	0.088673	46,025	4,081	43,985	278,417	6.0
89–90	0.100785	41,944	4,227	39,830	234,432	5.6
90–91	0.114173	37,717	4,306	35,564	194,602	5.2
91–92	0.128871	33,411	4,306	31,258	159,038	4.8
92–93	0.144887	29,105	4,217	26,996	127,780	4.4
93–94	0.162202	24,888	4,037	22,870	100,784	4.0
94–95	0.180760	20,851	3,769	18,967	77,914	3.7
95–96	0.200471	17,082	3,424	15,370	58,948	3.5
96–97	0.221204	13,658	3,021	12,147	43,578	3.2
97–98	0.242795	10,636	2,582	9,345	31,431	3.0
98–99	0.265047	8,054	2,135	6,987	22,086	2.7
99–100	0.287738	5,919	1,703	5,068	15,099	2.6
100–over	1.000000	4,216	4,216	10,031	10,031	2.4
