Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
89–90	0.109865	29,034	3,190	27,439	164,744	5.7
90–91	0.120564	25,844	3,116	24,286	137,306	5.3
91–92	0.132057	22,728	3,001	21,227	113,020	5.0
92–93	0.144356	19,727	2,848	18,303	91,793	4.7
93–94	0.157464	16,879	2,658	15,550	73,490	4.4
94–95	0.171371	14,221	2,437	13,003	57,940	4.1
95–96	0.186057	11,784	2,192	10,688	44,937	3.8
96–97	0.201490	9,592	1,933	8,625	34,250	3.6
97–98	0.217624	7,659	1,667	6,826	25,624	3.3
98–99	0.234398	5,992	1,405	5,290	18,799	3.1
99–100	0.251741	4,588	1,155	4,010	13,509	2.9
100–over	1.000000	3,433	3,433	9,499	9,499	2.8
