Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
38–39	0.001966	96,855	190	96,760	4,122,523	42.6
39–40	0.002025	96,665	196	96,567	4,025,763	41.6
40–41	0.002097	96,469	202	96,368	3,929,196	40.7
41–42	0.002193	96,267	211	96,161	3,832,828	39.8
42–43	0.002310	96,056	222	95,945	3,736,667	38.9
43–44	0.002450	95,834	235	95,716	3,640,722	38.0
44–45	0.002608	95,599	249	95,474	3,545,006	37.1
45–46	0.002789	95,350	266	95,217	3,449,532	36.2
46–47	0.002991	95,084	284	94,941	3,354,316	35.3
47–48	0.003211	94,799	304	94,647	3,259,374	34.4
48–49	0.003451	94,495	326	94,332	3,164,727	33.5
49–50	0.003723	94,169	351	93,993	3,070,395	32.6
50–51	0.004013	93,818	377	93,630	2,976,402	31.7
51–52	0.004344	93,442	406	93,239	2,882,772	30.9
52–53	0.004746	93,036	442	92,815	2,789,534	30.0
53–54	0.005220	92,594	483	92,352	2,696,719	29.1
54–55	0.005731	92,111	528	91,847	2,604,366	28.3
55–56	0.006234	91,583	571	91,297	2,512,519	27.4
56–57	0.006729	91,012	612	90,706	2,421,222	26.6
57–58	0.007251	90,400	655	90,072	2,330,516	25.8
58–59	0.007822	89,744	702	89,393	2,240,444	25.0
59–60	0.008445	89,042	752	88,666	2,151,051	24.2
60–61	0.009125	88,290	806	87,887	2,062,385	23.4
61–62	0.009825	87,484	860	87,055	1,974,498	22.6
62–63	0.010509	86,625	910	86,170	1,887,443	21.8
63–64	0.011161	85,715	957	85,236	1,801,273	21.0
64–65	0.011814	84,758	1,001	84,257	1,716,037	20.2
65–66	0.012506	83,757	1,047	83,233	1,631,780	19.5
66–67	0.013360	82,709	1,105	82,157	1,548,547	18.7
67–68	0.014331	81,604	1,169	81,019	1,466,390	18.0
68–69	0.015476	80,435	1,245	79,812	1,385,371	17.2
69–70	0.016782	79,190	1,329	78,525	1,305,559	16.5
70–71	0.018191	77,861	1,416	77,153	1,227,033	15.8
71–72	0.019812	76,445	1,515	75,687	1,149,881	15.0
72–73	0.021348	74,930	1,600	74,130	1,074,193	14.3
73–74	0.023793	73,330	1,745	72,458	1,000,063	13.6
74–75	0.025890	71,586	1,853	70,659	927,605	13.0
75–76	0.028694	69,732	2,001	68,732	856,946	12.3
76–77	0.031476	67,731	2,132	66,665	788,214	11.6
77–78	0.035104	65,599	2,303	64,448	721,549	11.0
78–79	0.038798	63,297	2,456	62,069	657,101	10.4
79–80	0.042979	60,841	2,615	59,534	595,032	9.8
80–81	0.047477	58,226	2,764	56,844	535,498	9.2
81–82	0.052582	55,462	2,916	54,004	478,655	8.6
82–83	0.058871	52,545	3,093	50,999	424,651	8.1
83–84	0.065838	49,452	3,256	47,824	373,652	7.6
84–85	0.073187	46,196	3,381	44,506	325,828	7.1
85–86	0.082278	42,815	3,523	41,054	281,323	6.6
86–87	0.091121	39,292	3,580	37,502	240,269	6.1
87–88	0.102219	35,712	3,650	33,887	202,767	5.7
88–89	0.114400	32,062	3,668	30,228	168,880	5.3
89–90	0.127704	28,394	3,626	26,581	138,652	4.9
90–91	0.142157	24,768	3,521	23,007	112,071	4.5
91–92	0.157768	21,247	3,352	19,571	89,064	4.2
92–93	0.174521	17,895	3,123	16,333	69,493	3.9
93–94	0.192382	14,772	2,842	13,351	53,160	3.6
94–95	0.211286	11,930	2,521	10,670	39,809	3.3
95–96	0.231141	9,409	2,175	8,322	29,139	3.1
96–97	0.251831	7,234	1,822	6,324	20,818	2.9
97–98	0.273211	5,413	1,479	4,673	14,494	2.7
98–99	0.295115	3,934	1,161	3,353	9,821	2.5
99–100	0.317359	2,773	880	2,333	6,468	2.3
100–over	1.000000	1,893	1,893	4,135	4,135	2.2
