Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
55–56	0.009101	87,162	793	86,766	2,209,253	25.3
56–57	0.009836	86,369	849	85,944	2,122,488	24.6
57–58	0.010639	85,520	910	85,065	2,036,543	23.8
58–59	0.011549	84,610	977	84,121	1,951,479	23.1
59–60	0.012559	83,633	1,050	83,107	1,867,357	22.3
60–61	0.013642	82,582	1,127	82,019	1,784,250	21.6
61–62	0.014742	81,456	1,201	80,855	1,702,231	20.9
62–63	0.015846	80,255	1,272	79,619	1,621,376	20.2
63–64	0.016938	78,983	1,338	78,314	1,541,757	19.5
64–65	0.018042	77,645	1,401	76,945	1,463,442	18.8
65–66	0.019251	76,244	1,468	75,511	1,386,498	18.2
66–67	0.020539	74,777	1,536	74,009	1,310,987	17.5
67–68	0.021832	73,241	1,599	72,441	1,236,978	16.9
68–69	0.023065	71,642	1,652	70,816	1,164,537	16.3
69–70	0.024227	69,989	1,696	69,142	1,093,722	15.6
70–71	0.025628	68,294	1,750	67,419	1,024,580	15.0
71–72	0.027103	66,544	1,804	65,642	957,161	14.4
72–73	0.028667	64,740	1,856	63,812	891,520	13.8
73–74	0.031000	62,884	1,949	61,909	827,707	13.2
74–75	0.033120	60,935	2,018	59,926	765,798	12.6
75–76	0.035722	58,917	2,105	57,864	705,872	12.0
76–77	0.038716	56,812	2,200	55,712	648,008	11.4
77–78	0.042004	54,612	2,294	53,465	592,296	10.8
78–79	0.045493	52,318	2,380	51,128	538,830	10.3
79–80	0.049742	49,938	2,484	48,696	487,702	9.8
80–81	0.054539	47,454	2,588	46,160	439,006	9.3
81–82	0.059293	44,866	2,660	43,536	392,845	8.8
82–83	0.064985	42,206	2,743	40,835	349,309	8.3
83–84	0.071043	39,463	2,804	38,061	308,475	7.8
84–85	0.076485	36,660	2,804	35,258	270,413	7.4
85–86	0.084197	33,856	2,851	32,430	235,156	6.9
86–87	0.092142	31,005	2,857	29,577	202,725	6.5
87–88	0.100708	28,148	2,835	26,731	173,148	6.2
88–89	0.109918	25,314	2,782	23,922	146,418	5.8
89–90	0.119792	22,531	2,699	21,182	122,495	5.4
90–91	0.130345	19,832	2,585	18,540	101,314	5.1
91–92	0.141587	17,247	2,442	16,026	82,774	4.8
92–93	0.153521	14,805	2,273	13,669	66,748	4.5
93–94	0.166143	12,532	2,082	11,491	53,079	4.2
94–95	0.179440	10,450	1,875	9,512	41,588	4.0
95–96	0.193389	8,575	1,658	7,746	32,076	3.7
96–97	0.207961	6,917	1,438	6,197	24,330	3.5
97–98	0.223112	5,478	1,222	4,867	18,133	3.3
98–99	0.238793	4,256	1,016	3,748	13,265	3.1
99–100	0.254942	3,240	826	2,827	9,518	2.9
100–over	1.000000	2,414	2,414	6,691	6,691	2.8
