Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
47–48	0.010264	84,819	871	84,384	2,390,835	28.2
48–49	0.011010	83,949	924	83,487	2,306,451	27.5
49–50	0.011782	83,024	978	82,535	2,222,964	26.8
50–51	0.012582	82,046	1,032	81,530	2,140,429	26.1
51–52	0.013396	81,014	1,085	80,471	2,058,898	25.4
52–53	0.014186	79,929	1,134	79,362	1,978,427	24.8
53–54	0.014912	78,795	1,175	78,207	1,899,065	24.1
54–55	0.015575	77,620	1,209	77,015	1,820,858	23.5
55–56	0.016192	76,411	1,237	75,792	1,743,843	22.8
56–57	0.016808	75,174	1,264	74,542	1,668,051	22.2
57–58	0.017463	73,910	1,291	73,265	1,593,509	21.6
58–59	0.018210	72,619	1,322	71,958	1,520,244	20.9
59–60	0.019063	71,297	1,359	70,617	1,448,286	20.3
60–61	0.019970	69,938	1,397	69,239	1,377,668	19.7
61–62	0.020916	68,541	1,434	67,824	1,308,429	19.1
62–63	0.021976	67,108	1,475	66,370	1,240,605	18.5
63–64	0.023171	65,633	1,521	64,872	1,174,234	17.9
64–65	0.024494	64,112	1,570	63,327	1,109,362	17.3
65–66	0.025971	62,542	1,624	61,729	1,046,035	16.7
66–67	0.027551	60,917	1,678	60,078	984,306	16.2
67–68	0.029117	59,239	1,725	58,377	924,228	15.6
68–69	0.030558	57,514	1,758	56,635	865,851	15.1
69–70	0.031888	55,757	1,778	54,868	809,216	14.5
70–71	0.033283	53,979	1,797	53,080	754,348	14.0
71–72	0.034815	52,182	1,817	51,274	701,268	13.4
72–73	0.036372	50,365	1,832	49,449	649,994	12.9
73–74	0.037984	48,534	1,844	47,612	600,545	12.4
74–75	0.039750	46,690	1,856	45,762	552,933	11.8
75–76	0.041555	44,834	1,863	43,903	507,171	11.3
76–77	0.043668	42,971	1,876	42,033	463,268	10.8
77–78	0.046720	41,095	1,920	40,135	421,235	10.3
78–79	0.051163	39,175	2,004	38,172	381,101	9.7
79–80	0.056873	37,170	2,114	36,113	342,928	9.2
80–81	0.063774	35,056	2,236	33,938	306,815	8.8
81–82	0.070268	32,821	2,306	31,667	272,877	8.3
82–83	0.075730	30,514	2,311	29,359	241,209	7.9
83–84	0.080249	28,204	2,263	27,072	211,850	7.5
84–85	0.085310	25,940	2,213	24,834	184,778	7.1
85–86	0.092185	23,727	2,187	22,634	159,945	6.7
86–87	0.098564	21,540	2,123	20,478	137,311	6.4
87–88	0.107101	19,417	2,080	18,377	116,833	6.0
88–89	0.116193	17,337	2,014	16,330	98,456	5.7
89–90	0.125842	15,323	1,928	14,359	82,125	5.4
90–91	0.136041	13,395	1,822	12,483	67,767	5.1
91–92	0.146775	11,572	1,699	10,723	55,283	4.8
92–93	0.158020	9,874	1,560	9,094	44,560	4.5
93–94	0.169741	8,314	1,411	7,608	35,466	4.3
94–95	0.181893	6,902	1,256	6,275	27,858	4.0
95–96	0.194422	5,647	1,098	5,098	21,584	3.8
96–97	0.207262	4,549	943	4,078	16,486	3.6
97–98	0.220337	3,606	795	3,209	12,408	3.4
98–99	0.233565	2,812	657	2,483	9,199	3.3
99–100	0.246856	2,155	532	1,889	6,716	3.1
100–over	1.000000	1,623	1,623	4,827	4,827	3.0
