Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
44–45	0.005507	91,645	505	91,393	3,218,054	35.1
45–46	0.005908	91,141	538	90,871	3,126,661	34.3
46–47	0.006308	90,602	571	90,316	3,035,789	33.5
47–48	0.006726	90,031	606	89,728	2,945,473	32.7
48–49	0.007169	89,425	641	89,105	2,855,745	31.9
49–50	0.007633	88,784	678	88,445	2,766,640	31.2
50–51	0.008131	88,106	716	87,748	2,678,195	30.4
51–52	0.008629	87,390	754	87,013	2,590,447	29.6
52–53	0.009063	86,636	785	86,243	2,503,434	28.9
53–54	0.009395	85,851	807	85,447	2,417,191	28.2
54–55	0.009658	85,044	821	84,634	2,331,743	27.4
55–56	0.009867	84,223	831	83,807	2,247,110	26.7
56–57	0.010116	83,392	844	82,970	2,163,302	25.9
57–58	0.010500	82,548	867	82,115	2,080,332	25.2
58–59	0.011086	81,681	905	81,229	1,998,218	24.5
59–60	0.011835	80,776	956	80,298	1,916,989	23.7
60–61	0.012681	79,820	1,012	79,314	1,836,691	23.0
61–62	0.013512	78,808	1,065	78,275	1,757,377	22.3
62–63	0.014286	77,743	1,111	77,188	1,679,102	21.6
63–64	0.014949	76,632	1,146	76,059	1,601,914	20.9
64–65	0.015550	75,487	1,174	74,900	1,525,855	20.2
65–66	0.016185	74,313	1,203	73,711	1,450,955	19.5
66–67	0.016949	73,110	1,239	72,491	1,377,243	18.8
67–68	0.017848	71,871	1,283	71,230	1,304,753	18.2
68–69	0.018920	70,588	1,336	69,920	1,233,523	17.5
69–70	0.020158	69,253	1,396	68,555	1,163,603	16.8
70–71	0.021532	67,857	1,461	67,126	1,095,048	16.1
71–72	0.023046	66,396	1,530	65,630	1,027,922	15.5
72–73	0.024752	64,865	1,606	64,063	962,292	14.8
73–74	0.026701	63,260	1,689	62,415	898,229	14.2
74–75	0.028941	61,571	1,782	60,680	835,814	13.6
75–76	0.031552	59,789	1,886	58,846	775,134	13.0
76–77	0.034542	57,902	2,000	56,902	716,288	12.4
77–78	0.037820	55,902	2,114	54,845	659,386	11.8
78–79	0.041229	53,788	2,218	52,679	604,541	11.2
79–80	0.044720	51,570	2,306	50,417	551,862	10.7
80–81	0.048233	49,264	2,376	48,076	501,444	10.2
81–82	0.052070	46,888	2,441	45,667	453,368	9.7
82–83	0.056584	44,447	2,515	43,189	407,701	9.2
83–84	0.061683	41,932	2,586	40,638	364,512	8.7
84–85	0.066631	39,345	2,622	38,034	323,873	8.2
85–86	0.072644	36,724	2,668	35,390	285,839	7.8
86–87	0.078627	34,056	2,678	32,717	250,449	7.4
87–88	0.085960	31,378	2,697	30,029	217,732	6.9
88–89	0.093848	28,681	2,692	27,335	187,703	6.5
89–90	0.102308	25,989	2,659	24,660	160,368	6.2
90–91	0.111350	23,330	2,598	22,031	135,708	5.8
91–92	0.120979	20,733	2,508	19,478	113,676	5.5
92–93	0.131191	18,224	2,391	17,029	94,198	5.2
93–94	0.141975	15,833	2,248	14,709	77,169	4.9
94–95	0.153309	13,585	2,083	12,544	62,460	4.6
95–96	0.165161	11,503	1,900	10,553	49,916	4.3
96–97	0.177487	9,603	1,704	8,751	39,363	4.1
97–98	0.190233	7,899	1,503	7,147	30,612	3.9
98–99	0.203332	6,396	1,301	5,746	23,465	3.7
99–100	0.216710	5,095	1,104	4,543	17,719	3.5
100–over	1.000000	3,991	3,991	13,176	13,176	3.3
